MB 195 (16x16) -> Y = 78 | CbCr = 39
MB 196 (16x16) -> Y = 55 | CbCr = 51
MB 197 (16x16) -> Y = 50 | CbCr = 30
MB 198 (4x4) -> Y = 82 | CbCr = 38
MB 199 (4x4) -> Y = 67 | CbCr = 68
MB 200 (4x4) -> Y = 79 | CbCr = 48
MB 201 (16x16) -> Y = 72 | CbCr = 121
MB 202 (4x4) -> Y = 72 | CbCr = 291
MB 203 (16x16) -> Y = 69 | CbCr = 60
MB 204 (16x16) -> Y = 47 | CbCr = 80
MB 205 (4x4) -> Y = 46 | CbCr = 131
MB 206 (16x16) -> Y = 46 | CbCr = 167
MB 207 (16x16) -> Y = 43 | CbCr = 112
MB 208 (16x16) -> Y = 47 | CbCr = 71
MB 209 (16x16) -> Y = 35 | CbCr = 46
MB 210 (16x16) -> Y = 41 | CbCr = 63
MB 211 (16x16) -> Y = 34 | CbCr = 104
MB 212 (16x16) -> Y = 56 | CbCr = 581
MB 213 (16x16) -> Y = 58 | CbCr = 47
MB 214 (4x4) -> Y = 59 | CbCr = 32
MB 215 (16x16) -> Y = 64 | CbCr = 59
MB 216 (16x16) -> Y = 60 | CbCr = 267
MB 217 (4x4) -> Y = 84 | CbCr = 794
MB 218 (16x16) -> Y = 43 | CbCr = 180
MB 219 (4x4) -> Y = 63 | CbCr = 138
MB 220 (16x16) -> Y = 52 | CbCr = 55
MB 221 (4x4) -> Y = 12 | CbCr = 43
MB 222 (4x4) -> Y = 169 | CbCr = 460
MB 223 (4x4) -> Y = 60 | CbCr = 43
MB 224 (4x4) -> Y = 53 | CbCr = 77
MB 225 (16x16) -> Y = 58 | CbCr = 51
MB 226 (16x16) -> Y = 46 | CbCr = 81
MB 227 (4x4) -> Y = 55 | CbCr = 160
MB 228 (16x16) -> Y = 70 | CbCr = 53
MB 229 (16x16) -> Y = 45 | CbCr = 94
MB 230 (16x16) -> Y = 39 | CbCr = 49
MB 231 (16x16) -> Y = 32 | CbCr = 81
MB 232 (16x16) -> Y = 50 | CbCr = 47
MB 233 (16x16) -> Y = 42 | CbCr = 56
MB 234 (4x4) -> Y = 52 | CbCr = 18
MB 235 (16x16) -> Y = 59 | CbCr = 34
MB 236 (4x4) -> Y = 61 | CbCr = 77
MB 237 (4x4) -> Y = 45 | CbCr = 111
MB 238 (16x16) -> Y = 66 | CbCr = 126
MB 239 (16x16) -> Y = 62 | CbCr = 390
MB 240 (16x16) -> Y = 69 | CbCr = 382
MB 241 (4x4) -> Y = 61 | CbCr = 400
MB 242 (16x16) -> Y = 30 | CbCr = 234
MB 243 (16x16) -> Y = 76 | CbCr = 157
MB 244 (4x4) -> Y = 36 | CbCr = 84
MB 245 (16x16) -> Y = 45 | CbCr = 68
MB 246 (16x16) -> Y = 38 | CbCr = 39
MB 247 (16x16) -> Y = 40 | CbCr = 78
MB 248 (4x4) -> Y = 58 | CbCr = 543
MB 249 (4x4) -> Y = 73 | CbCr = 44
MB 250 (4x4) -> Y = 73 | CbCr = 31
MB 251 (16x16) -> Y = 62 | CbCr = 31
